Restaurant_Name,Web_Link,Locality,Sponsored,Ratings_out_of_5,Number of votes,Phone_number,Cuisines,Charges_for_two,payment_modes,Rest_timming,Detail_address,5_star_review_percentage,4_star_review_percentage,3_star_review_percentage,2_star_review_percentage,1_star_review_percentage,Wine and Beer,Dance Floor,Lunch Menu,Outdoor Seating,Seaside,4/5 Star,Free Parking,Pet Friendly,Bulk Orders Accepted,Gaming Are,City View,Vegetarian Only,Brunch,Live Music,Wheelchair Accessible,Home Delivery,Celebrity Frequented,Pre-Ordering Required,Pool Table,Keto Options,Wifi,Sports TV,Wine Tasting,Beer,Restricted Entry,Variable Menu,Serves Non Veg,Table booking for Groups,Poolside,Home Baker,Wine,Buffet,Board Games,Vegan Options,Table Reservation Not Required,Table reservation required,Rooftop,BYOB,Egg Preparations,Live Sports Screening,Luxury Dining,Seating Not Available,Desserts and Bakes,Card Upon Delivery,Serves Jain Food,Mall Parking,Available for Functions,Gastro Pub,Live Entertainment,Sugar Free Options,Couple Entry Only,Above 18 Only,Drive in,Drive Thru,Valet Parking Available,Indoor Seating,Free Wifi,Nightlife,Serves Cocktails,Kid Friendly,Craft Beer,All Day Breakfast,Gluten Free Options,Group Meal,Table booking not available,Full Bar Available,Members Only,Standing Tables,Karaoke,Entry Fee,Self Service,Delivery Only,LGBTQIA Friendly,No Alcohol Available,Unlimited Pizz,Private Dining Area Available,Smoking Are,Table booking recommended,Resto Bar,Serves Alcohol,Breakfast,Catering Available,Disabled Friendly,Serves Halal,Takeaway Only,BYOB Only,spam_review
AB's - Absolute Barbecues,https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi,Hinjawadi,Casual Dining,4.9,7029  votes,+91 9373112211,"Continental, North Indian, Chinese","₹1,400",Cash and Cards accepted,"12noon – 4:30pm, 6:30pm – 11:30pm","White Square Building, Hinjawadi, Pune",79%,13%,3%,2%,3%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1539
I Amsterdam,https://www.zomato.com/pune/i-amsterdam-hinjawadi,Hinjawadi,"Casual Dining, Bar",4.3,430  votes,+91 8669698666 +91 8669697666,"Asian, European, Modern Indian, Italian","₹1,400","Cash,Cards and Digital Payments accepted",12noon – 1am,"Survey 257/1/1A, Near Raj Laxmi Petrol Pump, Phase 2 Road, Hinjawadi, Pune",45%,34%,10%,4%,7%,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8
Flechazo,https://www.zomato.com/pune/flechazo-wakad,Wakad,"Bar, Casual Dining",4.6,4731  votes,+91 8095311112,"Asian, Mediterranean, North Indian","₹1,400",Cash and Cards accepted,"11:30am – 4pm, 6:30pm – 12midnight","165, 3rd Floor, Vantagio, Near Silver Sports Club, Wakad, Pune",74%,16%,4%,2%,4%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,597
Barbeque Nation - Sayaji Hotel,https://www.zomato.com/pune/barbeque-nation-sayaji-hotel-wakad,Wakad,Casual Dining,4.5,2999  votes,18001086060,"North Indian, Mughlai, Salad, Kebab, BBQ","₹1,700",Cash and Cards accepted,"12noon – 3pm, 7pm – 11pm","Sayaji Hotel, 10th Floor, 135/136, Mumbai Bangalore Bypass Highway, Wakad, Pune",52%,35%,7%,2%,4%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,192
BeHive,https://www.zomato.com/pune/behive-hinjawadi,Hinjawadi,"Pub, Casual Dining",4,1437  votes,+91 9150018777 +91 9175680461,"North Indian, Chinese, Continental","₹1,400",Cash and Cards accepted,12noon – 1am,"New DP Road, Near Laxmi Chowk, Hinjawadi, Pune",53%,21%,7%,4%,15%,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,72
Barbeque Ville,https://www.zomato.com/pune/barbeque-ville-wakad,Wakad,Casual Dining,4.4,3435  votes,+91 8380041222 +91 8380041333,"North Indian, BBQ","₹1,000",Cash and Cards accepted,"12noon – 3pm, 7pm – 11pm","257, Green Valley, Near Mankar Chowk, Kaspate Vasti, Wakad, Pune",64%,22%,6%,3%,5%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,450
Tarsh Gastronomia,https://www.zomato.com/pune/tarsh-gastronomia-hinjawadi,Hinjawadi,"Bar, Casual Dining",4.4,3006  votes,+91 8208400226 +91 8459464888,"North Indian, Italian, Asian, Mediterranean, Continental, European, Kebab, BBQ","₹1,500",Cash and Cards accepted,"11:30am – 4pm, 6:30pm – 3am","8th Floor, Kara Hospitality, White Square, Hinjewadi Marg, Hinjawadi, Pune",58%,26%,7%,3%,6%,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,90
TTF - The Tenth Floor,https://www.zomato.com/pune/ttf-the-tenth-floor-baner,Baner,"Bar, Casual Dining",4.4,Based on 382 votes,080 46971626,"North Indian, Continental, Finger Food","₹1,500","Cash,Cards and Digital Payments accepted",5pm – 1:30am,"10th Floor, Deron Heights, Above Ranka Jewellers, Baner, Pune",74%,13%,2%,3%,8%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
The Barkhana,https://www.zomato.com/pune/the-barkhana-wakad,Wakad,"Bar, Casual Dining",4.7,1334  votes,080 46971140,"North Indian, Continental, Chinese","₹1,700","Cash,Cards and Digital Payments accepted",12noon – 2am,"1st Floor, Commercia Building, Near Hinjawadi Flyover, Wakad, Pune",68%,21%,5%,2%,4%,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,42
Publiq,https://www.zomato.com/pune/publiq-hinjawadi,Hinjawadi,"Bar, Casual Dining",4,1983  votes,+91 7720888388 +91 7888004425,"Bar Food, Asian, North Indian, Italian","₹1,600",Cash and Cards accepted,6pm – 1:30am,"901, 9th Floor, White Square, Hinjawadi-Wakad Road, Hinjawadi, Pune",37%,30%,11%,6%,16%,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,150
The Ruby Hilltop - Sunny's World,https://www.zomato.com/pune/the-ruby-hilltop-sunnys-world-sus,Sus,"Casual Dining, Bar",4.4,2871  votes,080 46971539,"North Indian, Chinese, Italian, Continental","₹1,300",Cash and Cards accepted,12noon – 11:30pm,"217, Pashan-Sus Road, Sus Gaon, Sus, Pune",60%,23%,7%,4%,6%,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,450
The FML Lounge,https://www.zomato.com/pune/the-fml-lounge-hinjawadi,Hinjawadi,"Bar, Casual Dining",4.3,3281  votes,080 46971205,"North Indian, Mughlai, Chinese","₹1,500",Cash and Cards accepted,3pm – 3am,"Near Hotel Fortune Inn Exotica, Hinjawadi, Pune",64%,16%,7%,4%,9%,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,546
Spice Factory,https://www.zomato.com/pune/spice-factory-hinjawadi,Hinjawadi,"Pub, Casual Dining",4,1941  votes,080 46971897,"North Indian, Italian, Chinese","₹2,000",Cash and Cards accepted,12noon – 2am,"2nd Floor, White Square, Hinjawadi Wakad Road, Hinjawadi, Pune",51%,25%,9%,5%,10%,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,231
The Urban Foundry,https://www.zomato.com/pune/the-urban-foundry-baner,Baner,"Bar, Casual Dining",4.5,3847  votes,+91 8983001166 +91 8983001155,"Bar Food, North Indian, Asian, Fast Food","₹1,500",Cash and Cards accepted,12noon – 1am,"Shop 1, Balewadi High Street, Cummins India Office Campus, Baner-Balewadi Link Road, Baner, Pune",58%,31%,6%,2%,3%,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,289
Universal Barbeque,https://www.zomato.com/pune/universal-barbeque-hinjawadi,Hinjawadi,"Casual Dining, Bar",4.5,3189  votes,080 46971783,"BBQ, North Indian, Chinese","₹1,200","Cash,Cards and Digital Payments accepted","12noon – 3:30pm, 6:30pm – 11pm","Survey 263, Hissa 2, Near Laxmi Chowk, Hinjewadi Marunji Road, Hinjawadi, Pune",69%,19%,4%,2%,6%,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,263
Urbo,https://www.zomato.com/pune/urbo-baner,Baner,"Lounge, Casual Dining",4.1,910  votes,+91 8828838826 +91 9702884444,"Italian, Continental, Chinese, Asian, North Indian","₹1,700",Cash and Cards accepted,12noon – 1am,"Swati Park, Veerbhadra Nagar, Baner, Pune",45%,30%,10%,5%,10%,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,33
Darshan,https://www.zomato.com/pune/darshan-baner,Baner,Casual Dining,4.8,3758  votes,+91 7447767100 +91 7447767200,"Italian, Continental, Chinese, Mexican, Fast Food, Street Food, Desserts",₹700,"Cash,Cards and Meal Coupons accepted",11am – 11:45pm,"Amar Business Park, Baner, Pune",75%,18%,3%,1%,3%,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,259
Blu Grass,https://www.zomato.com/pune/blu-grass-hinjawadi,Hinjawadi,"Casual Dining, Bar",4.1,Na základě 230 hlasů,080 46971799,"North Indian, Continental, Italian","₹1,300",Cash and Cards accepted,12noon – 1:30am,"Serial 132/1, Paranjpe Scheme, Duttatrey Sakhare Chowk, Phase 1, Hinjawadi, Pune",52%,27%,10%,5%,6%,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Tatva The Vegetarian Kitchen,https://www.zomato.com/pune/tatva-the-vegetarian-kitchen-wakad,Wakad,Casual Dining,4.3,2930  votes,+91 7028510427 +91 8888526700,"North Indian, Chinese, Continental, South Indian, Fast Food, Street Food, Beverages",₹850,"Cash,Cards and Digital Payments accepted",8am – 11:30pm,"Soham Icon, Thergaon, Wakad Road, Wakad, Pune",57%,27%,6%,4%,6%,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,274
Agent Jack's,https://www.zomato.com/pune/agent-jacks-baner,Baner,"Bar, Casual Dining",4.3,2642  votes,+91 9075026464 +91 9075026565,"Finger Food, Continental, North Indian, Italian, Asian, Desserts","₹1,500",Cash and Cards accepted,12noon – 1:30am,"Rooftop, Pride Purple Accord, Opposite Veritas Deron Heights, Baner, Pune",59%,23%,6%,3%,9%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,542
Linkin Barrel,https://www.zomato.com/pune/linkin-barrel-baner,Baner,"Bar, Casual Dining",4.3,1135  votes,080 46971806,"Continental, Modern Indian, Italian, North Indian","₹1,300",Cash and Cards accepted,4pm – 12midnight,"A-501, A Wing, The Capital Building, Baner-Pashan Link Road, Baner, Pune",44%,38%,9%,3%,6%,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,46
Fly High,https://www.zomato.com/pune/fly-high-hinjawadi,Hinjawadi,"Bar, Casual Dining",4.3,866  votes,080 46971351,"Continental, Italian, Chinese, North Indian","₹2,000",Cash and Cards accepted,3pm – 1:30am,"Survey 21/5, Besides Hotel Fortune Inn Exotica, Hinjawadi, Pune",64%,18%,4%,3%,11%,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,30
